codigo_ibge,microrregiao,atividade,descricao,grupo_vab,variavel_sidra,ano,vab_micro_mil_reais,vab_sc_mil_reais,vab_brasil_mil_reais,peso_micro_brasil,peso_micro_sc,peso_sc_brasil
42001,São Miguel do Oeste,2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,2700,Fabricação de máquinas e equipamentos elétricos,industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,2800,Fabricação de máquinas e equipamentos mecânicos,industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,2992,Fabricação de peças e acessórios para veículos automotores,industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,3180,Fabricação de móveis e de produtos de indústrias diversas,industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,3300,"Manutenção, reparação e instalação de máquinas e equipamentos",industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,3500,"Energia elétrica, gás natural e outras utilidades",industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,3680,"Água, esgoto e gestão de resíduos",industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,4180,Construção,industria,517,2015,1108280.0,60267845.0,1160787000.0,0.0009547660337340097,0.018389242223610287,0.05191981388489016
42001,São Miguel do Oeste,4580,Comércio por atacado e varejo,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,4900,Transporte terrestre,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,5000,Transporte aquaviário,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,5100,Transporte aéreo,servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
42001,São Miguel do Oeste,5280,"Armazenamento, atividades auxiliares dos transportes e correio",servicos,6575,2015,1897187.0,108382198.0,2850260000.0,0.0006656189259927164,0.01750459978676572,0.03802537242216499
