codigo_ibge,microrregiao,antes_pmolec_cm2,terra_pmolec_cm2,diferenca_percentual
42009,Curitibanos,0.46535849970516396,0.46535849970516396,0.0
42003,Xanxerê,0.5259897768875459,0.5259897768875459,0.0
42014,Ituporanga,0.647634310965161,0.647634310965161,0.0
42011,Rio do Sul,0.6370248855443258,0.6370248855443258,0.0
42004,Joaçaba,0.48623819827284837,0.48623819827284837,0.0
42002,Chapecó,0.6419365793601084,0.6419365793601084,0.0
42017,Tabuleiro,0.5869145288549686,0.5869145288549686,0.0
42005,Concórdia,0.6227210854584787,0.6227210854584787,0.0
42001,São Miguel do Oeste,0.597742424792248,0.597742424792248,0.0
42015,Tijucas,0.7753936749386173,0.7744091543727595,-0.12697041485871807
42010,Campos de Lages,0.4988691235975642,0.49886912359756436,4.440892098500626e-14
42016,Florianópolis,0.922251457395339,0.8995039592039942,-2.4665179988535013
42012,Blumenau,0.8854765674292808,0.8854765674292808,0.0
42008,Joinville,1.1617439439837047,1.1609828569262073,-0.06551246179838932
42020,Araranguá,0.7978651712258745,0.7976106660330612,-0.031898270784558314
42018,Tubarão,0.9342737058877052,0.9269037316491519,-0.7888453021966058
42013,Itajaí,1.1951486907989193,1.1950088614733299,-0.011699743024939924
42006,Canoinhas,0.5944262782259743,0.5944262782259743,0.0
42007,São Bento do Sul,0.8187423975076383,0.8187423975076383,0.0
42019,Criciúma,0.9758117075478956,0.9758122070883456,5.119229931072056e-05
