expoente_fator,codigo_ibge,microrregiao,diretas_gg_co2,totais_gg_co2,variacao_diretas_vs_vab_pct,variacao_totais_vs_vab_pct
0.0,42001,São Miguel do Oeste,633.1960920673247,1179.859615791074,0.0,0.0
0.0,42002,Chapecó,1913.5190317751787,3531.6455983856854,0.0,0.0
0.0,42003,Xanxerê,567.7105967436477,1058.0677043972228,0.0,0.0
0.0,42004,Joaçaba,1643.2620578010858,3029.241286909587,0.0,0.0
0.0,42005,Concórdia,884.254559275454,1625.481312925295,0.0,2.220446049250313e-14
0.0,42006,Canoinhas,821.3523952010086,1530.573749023274,0.0,0.0
0.0,42007,São Bento do Sul,655.620968844569,1200.6232826711316,0.0,0.0
0.0,42008,Joinville,6327.568997428953,11542.781756733582,0.0,0.0
0.0,42009,Curitibanos,595.1325599625127,1099.3965787728293,0.0,0.0
0.0,42010,Campos de Lages,1040.1585554587436,1926.6401118361555,0.0,0.0
0.0,42011,Rio do Sul,795.959470062056,1472.0484324449892,0.0,0.0
0.0,42012,Blumenau,4459.765660983788,8141.596418802024,0.0,0.0
0.0,42013,Itajaí,3084.509418838778,5675.143297596647,0.0,0.0
0.0,42014,Ituporanga,192.89584454511308,360.92955202555083,0.0,0.0
0.0,42015,Tijucas,428.4816462264419,787.2860267974546,0.0,0.0
0.0,42016,Florianópolis,3383.7057147065602,6248.3297619521345,0.0,0.0
0.0,42017,Tabuleiro,52.22660444843095,100.53712424190157,0.0,0.0
0.0,42018,Tubarão,1319.2788895839046,2440.525911243313,0.0,0.0
0.0,42019,Criciúma,1930.488745609928,3533.381395600405,0.0,0.0
0.0,42020,Araranguá,512.3256495455219,955.4978633298383,0.0,0.0
0.5,42001,São Miguel do Oeste,573.2495495829571,1050.9561548113522,-9.467295082104476,-10.925321898851026
0.5,42002,Chapecó,1996.5227963056632,3607.549534872452,4.3377548460274085,2.1492512306858336
0.5,42003,Xanxerê,493.7927441790315,926.8463252578429,-13.020340467238823,-12.401983218468636
0.5,42004,Joaçaba,1696.4675018580572,3097.95576457893,3.2377942279132155,2.2683725448442216
0.5,42005,Concórdia,815.3305520716696,1480.4196079524697,-7.794588841052718,-8.924230861305016
0.5,42006,Canoinhas,676.8567314439566,1238.9685812837956,-17.592407911794027,-19.05201679602596
0.5,42007,São Bento do Sul,521.1484109762232,928.3296583154329,-20.510716444187715,-22.679355655164645
0.5,42008,Joinville,6778.038133315616,12950.737459392562,7.119150120207296,12.19771570087631
0.5,42009,Curitibanos,550.7891523211769,998.5520619078884,-7.4510135429540325,-9.172715179585678
0.5,42010,Campos de Lages,932.1067207891019,1687.6280405196562,-10.388015759961455,-12.405641813857615
0.5,42011,Rio do Sul,673.1024024390762,1214.8632512166125,-15.435090886399205,-17.471244529720163
0.5,42012,Blumenau,4384.701125501758,7709.531054950918,-1.6831497703731602,-5.306887514754532
