codigo_ibge,microrregiao,atividade,producao_estimada_r_milhao,diretas_gg_co2,insumos_gg_co2,totais_gg_co2
42001,São Miguel do Oeste,0191,764.380177769609,26.20732038067231,34.73217487900163,60.93949525967395
42001,São Miguel do Oeste,0192,1012.687433181759,44.847586326620764,58.809672951689585,103.65725927831035
42001,São Miguel do Oeste,0280,27.51758861415189,4.9138551096699805,0.8364132251922456,5.750268334862226
42001,São Miguel do Oeste,0580,4.468304618015881,0.33831449250691675,0.2504801972287048,0.5887946897356215
42001,São Miguel do Oeste,0680,18.080816389432467,0.1808081638943247,0.8903383570649166,1.0711465209592412
42001,São Miguel do Oeste,0791,48.56117847455747,0.9712235694911494,2.5167495113854566,3.487973080876606
42001,São Miguel do Oeste,0792,15.009613613711096,1.6939421078331096,1.0464331795719517,2.7403752874050613
42001,São Miguel do Oeste,1091,811.917095006504,95.11028827219049,81.47749154165344,176.58777981384392
42001,São Miguel do Oeste,1092,137.22710171294486,70.18186059033465,10.946585988174718,81.12844657850937
42001,São Miguel do Oeste,1093,322.7193492101305,35.96015605484311,29.06712177177468,65.02727782661779
42001,São Miguel do Oeste,1100,32.544320855177205,12.785268907391046,4.756053812193752,17.541322719584798
42001,São Miguel do Oeste,1200,6.894082534478517,0.3840988840638031,0.46994701113989445,0.8540458952036976
42001,São Miguel do Oeste,1300,7.853879625684007,0.5946508859446463,0.5466906161685058,1.141341502113152
42001,São Miguel do Oeste,1400,21.897447602366853,1.4389751281555359,1.2441121842084437,2.6830873123639796
42001,São Miguel do Oeste,1500,7.9212385236851475,0.4413261463196011,0.602575853945771,1.043902000265372
42001,São Miguel do Oeste,1600,9.178265750805494,0.5506959450483296,0.7543255256414015,1.3050214706897312
42001,São Miguel do Oeste,1700,21.170413628890138,0.9375468892794204,1.62363018842637,2.5611770777057905
42001,São Miguel do Oeste,1800,11.80700553613407,2.108393845738227,0.6970142067370406,2.8054080524752676
42001,São Miguel do Oeste,1991,62.96622190286089,1.5291796747837647,4.384487086964813,5.913666761748578
