codigo_ibge,microrregiao,emissoes_diretas,emissoes_insumos,emissoes_totais
42001,São Miguel do Oeste,538.2053750508474,429.6674872121174,967.8728622629648
42002,Chapecó,2112.498939982575,1654.5572733953147,3767.05621337789
42003,Xanxerê,426.41791422316044,388.1617025279916,814.579616751152
42004,Joaçaba,1780.289151633934,1438.4434922584526,3218.7326438923865
42005,Concórdia,810.7584866472481,663.0262784694945,1473.7847651167428
42006,Canoinhas,580.5986111885118,485.0686199949998,1065.6672311835114
42007,São Bento do Sul,439.37987374486397,325.1140130823343,764.4938868271983
42008,Joinville,6771.77161893998,6415.468083760148,13187.239702700126
42009,Curitibanos,547.6466849565456,437.42948750022043,985.0761724567661
42010,Campos de Lages,853.7270413715445,672.635773498918,1526.3628148704624
42011,Rio do Sul,578.790433961686,428.51078873760093,1007.3012226992869
42012,Blumenau,4158.41268194359,2921.406561548624,7079.819243492213
42013,Itajaí,3233.0425298308814,2721.255842060484,5954.298371891364
42014,Ituporanga,159.74833439474946,129.40925604375263,289.1575904385021
42015,Tijucas,347.0870844151245,312.49662238263704,659.5837067977616
42016,Florianópolis,4645.996897072835,3434.901875602285,8080.89877267512
42017,Tabuleiro,35.370060822543515,33.234921202293485,68.60498202483701
42018,Tubarão,1254.0811853522287,1159.2288683567165,2413.3100537089454
42019,Criciúma,1626.1823612792493,1857.3247835228044,3483.5071448020535
42020,Araranguá,341.408192296901,290.83159121391157,632.2397835108126
