abordagem,nos,ligacoes,componentes,peso_gg,participacao_pct
Mínima bilateral,67,65,2,241.29539216053212,0.08298224932423132
Máxima bilateral,67,65,2,88919.63411960044,30.579743700298586
Máxima dirigida,67,65,2,58038.81724880298,19.959733007331895
